period_start,crime_head,cases_reported,geography,source,source_url,data_classification,licence
2024-05-01,Assault,1834.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-06-01,Assault,1477.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-07-01,Assault,1249.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-08-01,Assault,1249.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-09-01,Assault,2659.835270398482,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-10-01,Assault,1282.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-11-01,Assault,1230.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-12-01,Assault,1303.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-01-01,Burglary,411.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-02-01,Burglary,393.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-03-01,Burglary,385.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-04-01,Burglary,283.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-05-01,Burglary,195.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-06-01,Burglary,300.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-07-01,Burglary,491.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-08-01,Burglary,489.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-09-01,Burglary,426.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-10-01,Burglary,466.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-11-01,Burglary,446.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-12-01,Burglary,469.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-01-01,Burglary,410.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-02-01,Burglary,368.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-03-01,Burglary,427.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-04-01,Burglary,424.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-05-01,Burglary,469.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-06-01,Burglary,437.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-07-01,Burglary,473.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-08-01,Burglary,516.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-09-01,Burglary,449.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-10-01,Burglary,445.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-11-01,Burglary,471.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2022-12-01,Burglary,478.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-01-01,Burglary,439.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-02-01,Burglary,448.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-03-01,Burglary,381.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-04-01,Burglary,335.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-05-01,Burglary,472.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-06-01,Burglary,575.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-08-01,Burglary,1168.0815443768024,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-09-01,Burglary,510.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2023-10-01,Burglary,541.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-01-01,Burglary,514.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-02-01,Burglary,448.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-03-01,Burglary,396.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-04-01,Burglary,393.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
