district_normalized,year,crime_head,data_source,data_classification,cases_reported
Chamarajanagar,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,194
Chamarajanagar,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Chamarajanagar,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,535
Chamarajanagar,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,89
Chamarajanagar,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,65
Chamarajanagar,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,14
Chamarajanagar,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,52
Chamarajanagar,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,16
Chamarajanagar,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,38
Chamarajanagar,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,151
Chamarajanagar,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2068
Chamarajanagar,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,844
Chamarajnagar,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1951
Chamarajnagar,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,717
Chickballapura,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,457
Chickballapura,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,49
Chickballapura,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,117
Chickballapura,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,53
Chickballapura,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,197
Chickballapura,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,6
Chickballapura,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Chickballapura,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Chickballapura,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,311
Chickballapura,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,315
Chickballapura,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,128
Chickballapura,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,27
Chickballapura,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,546
Chickballapura,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,183
Chickballapura,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,156
Chickballapura,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,17
Chickballapura,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,135
Chickballapura,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,20
Chickballapura,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,42
Chickballapura,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,300
Chickballapura,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2542
Chickballapura,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1619
Chikkaballapura,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2734
Chikkaballapura,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1223
Chikkamagaluru,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3036
Chikkamagaluru,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1211
Chikkamagaluru,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,521
Chikkamagaluru,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,51
Chikkamagaluru,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,96
Chikkamagaluru,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,77
Chikkamagaluru,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,102
Chikkamagaluru,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4
Chikkamagaluru,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1
Chikkamagaluru,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,6
Chikkamagaluru,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,237
Chikkamagaluru,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,176
Chikkamagaluru,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,152
Chikkamagaluru,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,31
Chikkamagaluru,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,713
Chikkamagaluru,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,121
Chikkamagaluru,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,89
Chikkamagaluru,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,12
Chikkamagaluru,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,44
Chikkamagaluru,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,9
Chikkamagaluru,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,50
Chikkamagaluru,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,232
Chikkamagaluru,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2722
Chikkamagaluru,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1488
Chitradurga,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4367
Chitradurga,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1545
